       112,          5550,  -86493,   86711,    -221,  -54872,   95855,  -40177,  -33255,   46934,   95587,   99100,   89494,   42895,   99100,   89494,   42895,  -33255,   87475,   95587,   99144,   30931,   98205
       113,          5600,  -87424,   85757,    1664,  -56365,   95288,  -38457,  -32280,   45229,   95408,   99125,   89772,   40629,   99125,   89772,   40629,  -32280,   87787,   95408,   99169,   31123,   98134
       114,          5650,  -88323,   84772,    3548,  -57838,   94688,  -36723,  -31317,   43538,   95229,   99149,   90043,   38363,   99149,   90043,   38363,  -31317,   88091,   95229,   99193,   31310,   98063
       115,          5700,  -89191,   83758,    5431,  -59293,   94054,  -34976,  -30366,   41862,   95050,   99172,   90306,   36076,   99172,   90306,   36076,  -30366,   88388,   95050,   99217,   31492,   97991
       116,          5750,  -90028,   82713,    7312,  -60729,   93388,  -33217,  -29429,   40203,   94870,   99195,   90562,   33769,   99195,   90562,   33769,  -29429,   88677,   94870,   99240,   31669,   97919
       117,          5800,  -90832,   81639,    9190,  -62145,   92691,  -31447,  -28505,   38561,   94691,   99218,   90812,   31462,   99218,   90812,   31462,  -28505,   88960,   94691,   99262,   31842,   97846
       118,          5850,  -91605,   80536,   11066,  -63541,   91962,  -29666,  -27595,   36936,   94511,   99239,   91054,   29154,   99239,   91054,   29154,  -27595,   89235,   94511,   99284,   32009,   97774
       119,          5900,  -92344,   79405,   12937,  -64917,   91202,  -27875,  -26700,   35329,   94332,   99260,   91290,   26847,   99260,   91290,   26847,  -26700,   89503,   94332,   99305,   32173,   97701
       120,          5950,  -93051,   78245,   14804,  -66272,   90412,  -26074,  -25818,   33740,   94153,   99280,   91520,   24539,   99280,   91520,   24539,  -25818,   89765,   94153,   99325,   32331,   97629
       121,          6000,  -93725,   77057,   16665,  -67606,   89592,  -24265,  -24951,   32170,   93973,   99300,   91744,   22253,   99300,   91744,   22253,  -24951,   90020,   93973,   99344,   32486,   97557
       122,          6050,  -94365,   75842,   18521,  -68919,   88742,  -22448,  -24098,   30619,   93795,   99319,   91962,   19966,   99319,   91962,   19966,  -24098,   90270,   93795,   99363,   32636,   97485
       123,          6100,  -94972,   74600,   20369,  -70209,   87862,  -20624,  -23261,   29087,   93616,   99337,   92173,   17679,   99337,   92173,   17679,  -23261,   90512,   93616,   99382,   32783,   97413
       124,          6150,  -95546,   73332,   22211,  -71477,   86954,  -18794,  -22439,   27575,   93438,   99355,   92380,   15414,   99355,   92380,   15414,  -22439,   90749,   93438,   99399,   32925,   97342
       125,          6200,  -96085,   72037,   24045,  -72722,   86017,  -16957,  -21632,   26082,   93261,   99372,   92580,   13148,   99372,   92580,   13148,  -21632,   90980,   93261,   99416,   33064,   97271
       126,          6250,  -96590,   70717,   25870,  -73944,   85052,  -15116,  -20841,   24610,   93084,   99388,   92775,   10923,   99388,   92775,   10923,  -20841,   91206,   93084,   99433,   33199,   97201
       127,          6300,  -97061,   69372,   27686,  -75141,   84059,  -13269,  -20066,   23158,   92907,   99404,   92965,    8699,   99404,   92965,    8699,  -20066,   91426,   92907,   99449,   33330,   97131
       128,          6350,  -97497,   68002,   29493,  -76314,   83037,  -11419,  -19307,   21726,   92731,   99420,   93150,    6496,   99420,   93150,    6496,  -19307,   91640,   92731,   99464,   33458,   97062
       129,          6400,  -97899,   66608,   31288,  -77461,   81988,   -9566,  -18564,   20315,   92556,   99435,   93330,    4313,   99435,   93330,    4313,  -18564,   91849,   92556,   99479,   33582,   96993
       130,          6450,  -98266,   65191,   33073,  -78582,   80911,   -7710,  -17837,   18924,   92382,   99449,   93506,    2172,   99449,   93506,    2172,  -17837,   92053,   92382,   99493,   33703,   96926
       131,          6500,  -98598,   63750,   34846,  -79678,   79807,   -5852,  -17126,   17554,   92209,   99463,   93676,      31,   99463,   93676,      31,  -17126,   92252,   92209,   99507,   33821,   96859
